num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
233,58,Олимпиада школьников Санкт-Петербургского государственного университета,социология,социология,первый,1,с шестого по одиннадцатый,с 6 по 11,6,11,"обществознание, история",отборочный и заключительный
234,58,Олимпиада школьников Санкт-Петербургского государственного университета,физика,физика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,физика,отборочный и заключительный
235,58,Олимпиада школьников Санкт-Петербургского государственного университета,филология,литература,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,"иностранный язык, литература, русский язык",отборочный и заключительный
236,58,Олимпиада школьников Санкт-Петербургского государственного университета,химия,химия,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,химия,отборочный и заключительный
237,58,Олимпиада школьников Санкт-Петербургского государственного университета,экономика,экономика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,экономика,отборочный и заключительный
238,59,"Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» «В мир права»",история,история,третий,3,с седьмого по одиннадцатый,с 7 по 11,7,11,история,отборочный и заключительный
239,59,"Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции"" (РПА Минюста России)» «В мир права»",право,право,третий,3,с седьмого по одиннадцатый,с 7 по 11,7,11,"обществознание, право",отборочный и заключительный
240,60,Олимпиада Юношеской математической школы,математика,математика,третий,3,с четвертого по одиннадцатый,с 4 по 11,4,11,математика,"первый отборочный тур, второй тур и финал"
241,61,Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»,физика,физика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,физика,отборочный и заключительный
242,61,Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»,химия,химия,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,химия,отборочный и финал
243,62,Открытая олимпиада школьников,информатика,информатика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,информатика,"первый тур, второй тур и финал"
244,62,Открытая олимпиада школьников,математика,математика,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,математика,отборочный и заключительный
245,63,Открытая олимпиада школьников по программированию,информатика,информатика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,информатика,"длинный тур, короткий тур и финал"
246,64,Открытая олимпиада школьников по программированию «Когнитивные технологии»,информатика,информатика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,информатика,отборочный и заключительный
247,65,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),география,география,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,география,отборочный и заключительный
248,65,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),история,история,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,история,отборочный и заключительный
249,65,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),литература,литература,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,литература,отборочный и заключительный
250,65,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),русский язык,русский язык,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,русский язык,отборочный и заключительный
251,65,Открытая региональная межвузовская олимпиада вузов Томской области (ОРМО),физика,физика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,физика,отборочный и заключительный
252,66,Открытая химическая олимпиада,химия,химия,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,химия,отборочный и заключительный
